17:21:58.390,19-09-03,0000053539,USBWrite,Datagram write error: 1!
17:21:58.390,19-09-03,0000053539,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:22:08.590,19-09-03,0000054459,     gui,TI_NN_EnumNodeGetRemoteHost: No Remove Host
17:22:14.390,19-09-03,0000055039,USBWrite,Datagram write error: 1!
17:22:14.390,19-09-03,0000055039,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:22:24.710,19-09-03,0000056071,     gui,TI_NN_EnumNodeGetRemoteHost: No Remove Host
17:22:28.390,19-09-03,0000056439,USBWrite,Datagram write error: 2!
17:22:28.390,19-09-03,0000056439,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:22:44.390,19-09-03,0000057939,USBWrite,Datagram write error: 2!
17:22:44.390,19-09-03,0000057939,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:22:59.390,19-09-03,0000059439,USBWrite,Datagram write error: 2!
17:22:59.390,19-09-03,0000059439,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:23:14.390,19-09-03,0000060939,USBWrite,Datagram write error: 2!
17:23:14.390,19-09-03,0000060939,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:23:30.390,19-09-03,0000062439,USBWrite,Datagram write error: 2!
17:23:30.390,19-09-03,0000062439,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:23:45.390,19-09-03,0000063939,USBWrite,Datagram write error: 2!
17:23:45.390,19-09-03,0000063939,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:24:01.390,19-09-03,0000065439,USBWrite,Datagram write error: 2!
17:24:01.390,19-09-03,0000065439,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:24:16.390,19-09-03,0000066939,USBWrite,Datagram write error: 2!
17:24:16.390,19-09-03,0000066939,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:24:31.390,19-09-03,0000068439,USBWrite,Datagram write error: 2!
17:24:31.390,19-09-03,0000068439,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:24:47.390,19-09-03,0000069939,USBWrite,Datagram write error: 2!
17:24:47.390,19-09-03,0000069939,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:25:02.390,19-09-03,0000071439,USBWrite,Datagram write error: 2!
17:25:02.390,19-09-03,0000071439,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:25:17.390,19-09-03,0000072939,USBWrite,Datagram write error: 2!
17:25:17.390,19-09-03,0000072939,USBWrite,usbWriteTaskEntry: write failed(0!=77).
